,,,JamesSteinEncoder
myeloid,GradientBoostingRegressor,MAE,0.271 ±0.047
myeloid,GradientBoostingRegressor,R2,0.604 ±0.100
myeloid,MLPRegressor,RMSE,0.587 ±0.061
myeloid,MLPRegressor,MAE,0.260 ±0.043
myeloid,MLPRegressor,R2,0.646 ±0.086
myeloid,MLPRegressor2,RMSE,0.688 ±0.076
myeloid,MLPRegressor2,MAE,0.276 ±0.061
myeloid,MLPRegressor2,R2,0.515 ±0.108
us_rent_income,ElasticNet,RMSE,0.683 ±0.046
us_rent_income,ElasticNet,MAE,0.653 ±0.045
us_rent_income,ElasticNet,R2,0.526 ±0.033
us_rent_income,KNeighborsRegressor,RMSE,0.203 ±0.037
us_rent_income,KNeighborsRegressor,MAE,0.031 ±0.012
us_rent_income,KNeighborsRegressor,R2,0.958 ±0.012
us_rent_income,SVR,RMSE,0.476 ±0.051
us_rent_income,SVR,MAE,0.215 ±0.069
us_rent_income,SVR,R2,0.768 ±0.045
us_rent_income,RandomForestRegressor,RMSE,0.234 ±0.047
us_rent_income,RandomForestRegressor,MAE,0.031 ±0.006
us_rent_income,RandomForestRegressor,R2,0.943 ±0.019
us_rent_income,GradientBoostingRegressor,RMSE,0.255 ±0.047
us_rent_income,GradientBoostingRegressor,MAE,0.057 ±0.019
us_rent_income,GradientBoostingRegressor,R2,0.933 ±0.020
us_rent_income,MLPRegressor,RMSE,0.310 ±0.074
us_rent_income,MLPRegressor,MAE,0.214 ±0.082
us_rent_income,MLPRegressor,R2,0.898 ±0.045
us_rent_income,MLPRegressor2,RMSE,0.265 ±0.071
us_rent_income,MLPRegressor2,MAE,0.178 ±0.069
us_rent_income,MLPRegressor2,R2,0.924 ±0.040
Baseball,ElasticNet,RMSE,0.705 ±0.056
Baseball,ElasticNet,MAE,0.528 ±0.041
Baseball,ElasticNet,R2,0.502 ±0.030
Baseball,KNeighborsRegressor,RMSE,0.478 ±0.041
Baseball,KNeighborsRegressor,MAE,0.301 ±0.035
Baseball,KNeighborsRegressor,R2,0.769 ±0.034
Baseball,SVR,RMSE,0.477 ±0.071
Baseball,SVR,MAE,0.256 ±0.025
Baseball,SVR,R2,0.772 ±0.038
Baseball,RandomForestRegressor,RMSE,0.381 ±0.037
Baseball,RandomForestRegressor,MAE,0.227 ±0.022
Baseball,RandomForestRegressor,R2,0.853 ±0.026
Baseball,GradientBoostingRegressor,RMSE,0.373 ±0.034
Baseball,GradientBoostingRegressor,MAE,0.231 ±0.027
Baseball,GradientBoostingRegressor,R2,0.859 ±0.025
Baseball,MLPRegressor,RMSE,0.388 ±0.028
Baseball,MLPRegressor,MAE,0.248 ±0.019
Baseball,MLPRegressor,R2,0.846 ±0.029
Baseball,MLPRegressor2,RMSE,0.386 ±0.031
Baseball,MLPRegressor2,MAE,0.250 ±0.025
Baseball,MLPRegressor2,R2,0.849 ±0.025
