,,,GLMMEncoder
myeloid,GradientBoostingRegressor,R2,0.606 ±0.097
myeloid,MLPRegressor,RMSE,0.575 ±0.053
myeloid,MLPRegressor,MAE,0.250 ±0.039
myeloid,MLPRegressor,R2,0.660 ±0.074
myeloid,MLPRegressor2,RMSE,0.693 ±0.107
myeloid,MLPRegressor2,MAE,0.279 ±0.068
myeloid,MLPRegressor2,R2,0.495 ±0.189
us_rent_income,ElasticNet,RMSE,0.683 ±0.046
us_rent_income,ElasticNet,MAE,0.653 ±0.045
us_rent_income,ElasticNet,R2,0.525 ±0.033
us_rent_income,KNeighborsRegressor,RMSE,0.199 ±0.030
us_rent_income,KNeighborsRegressor,MAE,0.029 ±0.009
us_rent_income,KNeighborsRegressor,R2,0.959 ±0.009
us_rent_income,SVR,RMSE,0.240 ±0.060
us_rent_income,SVR,MAE,0.098 ±0.006
us_rent_income,SVR,R2,0.939 ±0.026
us_rent_income,RandomForestRegressor,RMSE,0.234 ±0.047
us_rent_income,RandomForestRegressor,MAE,0.032 ±0.007
us_rent_income,RandomForestRegressor,R2,0.943 ±0.019
us_rent_income,GradientBoostingRegressor,RMSE,0.256 ±0.048
us_rent_income,GradientBoostingRegressor,MAE,0.055 ±0.016
us_rent_income,GradientBoostingRegressor,R2,0.933 ±0.020
us_rent_income,MLPRegressor,RMSE,0.181 ±0.026
us_rent_income,MLPRegressor,MAE,0.044 ±0.008
us_rent_income,MLPRegressor,R2,0.966 ±0.008
us_rent_income,MLPRegressor2,RMSE,0.198 ±0.043
us_rent_income,MLPRegressor2,MAE,0.064 ±0.037
us_rent_income,MLPRegressor2,R2,0.959 ±0.018
Baseball,ElasticNet,RMSE,0.705 ±0.056
Baseball,ElasticNet,MAE,0.528 ±0.041
Baseball,ElasticNet,R2,0.502 ±0.030
Baseball,KNeighborsRegressor,RMSE,0.477 ±0.038
Baseball,KNeighborsRegressor,MAE,0.299 ±0.031
Baseball,KNeighborsRegressor,R2,0.770 ±0.032
Baseball,SVR,RMSE,0.472 ±0.070
Baseball,SVR,MAE,0.253 ±0.022
Baseball,SVR,R2,0.777 ±0.037
Baseball,RandomForestRegressor,RMSE,0.384 ±0.040
Baseball,RandomForestRegressor,MAE,0.229 ±0.022
Baseball,RandomForestRegressor,R2,0.851 ±0.027
Baseball,GradientBoostingRegressor,RMSE,0.374 ±0.034
Baseball,GradientBoostingRegressor,MAE,0.231 ±0.024
Baseball,GradientBoostingRegressor,R2,0.858 ±0.025
Baseball,MLPRegressor,RMSE,0.397 ±0.031
Baseball,MLPRegressor,MAE,0.252 ±0.019
Baseball,MLPRegressor,R2,0.840 ±0.028
Baseball,MLPRegressor2,RMSE,0.378 ±0.034
Baseball,MLPRegressor2,MAE,0.241 ±0.025
Baseball,MLPRegressor2,R2,0.856 ±0.023
